Lane,Lib,Type,ReadLength,Volume/G,NoneN_Bases,SingleReadsCount,VolumeRatio/%,OnemisRatio/%,QualifiedRatio/%,DiscardRatio/%,GC/%,Q20/%,Q30/%,R1_GC/%,R2_GC/%,R1_Q20/%,R2_Q20/%,R1_Q30/%,R2_Q30/%
1,HUMRNIULNPEI-536-v109,PE,100,4.1,4.09E+09,40978458,4.2,3.76,100,0,47.88,97.08,89.44,47.76,47.99,97.63,96.54,90.78,88.1
1,HUMRNIUKPPEI-512-v109,PE,100,2.35,2.35E+09,23534844,2.41,6.78,100,0,49.63,97.15,89.71,49.53,49.73,97.52,96.77,90.54,88.87
1,HUMRNIULAPEI-523-v109,PE,100,0.46,4.63E+08,4638032,0.48,2.27,100,0,50.27,96.59,88.31,50.17,50.38,97.42,95.75,90.21,86.41
1,HUMRNIUKNPEI-510-v109,PE,100,2.96,2.96E+09,29643886,3.04,3.64,100,0,50.48,96.72,88.59,50.41,50.56,97.46,95.98,90.36,86.83
1,HUMRNIULSPEI-541-v109,PE,100,4.17,4.17E+09,41711296,4.27,2.44,100,0,49.35,96.9,88.98,49.25,49.45,97.44,96.36,90.25,87.71
1,HUMRNIUKTPEI-516-v109,PE,100,3.03,3.03E+09,30283666,3.1,2.41,100,0,50.62,97,89.52,50.56,50.67,97.59,96.42,90.85,88.19
1,HUMRNIUKWPEI-519-v109,PE,100,0.36,3.63E+08,3632434,0.37,3.89,100,0,49.46,96.97,89.24,49.4,49.52,97.52,96.42,90.53,87.94
1,HUMRNIULJPEI-532-v109,PE,100,3.38,3.37E+09,33754410,3.46,2.04,100,0,49.78,97.25,90.07,49.7,49.85,97.58,96.93,90.78,89.35
1,HUMRNIUKKPEI-507-v109,PE,100,0.42,4.18E+08,4188750,0.43,3.37,100,0,49.35,97.38,90.41,49.36,49.35,97.81,96.94,91.46,89.37
1,HUMRNIULGPEI-529-v109,PE,100,0.39,3.91E+08,3914284,0.4,3.71,100,0,49.51,96.84,88.85,49.41,49.62,97.48,96.19,90.4,87.29
1,HUMRNIUKZPEI-522-v109,PE,100,3.38,3.38E+09,33795198,3.46,3.13,100,0,49.96,97.01,89.39,49.85,50.06,97.54,96.49,90.6,88.17
1,HUMRNIUKOPEI-511-v109,PE,100,0,2.76E+06,27628,0,3.08,100,0,49.72,97.04,89.54,49.72,49.71,97.52,96.57,90.57,88.51
1,HUMRNIULLPEI-534-v109,PE,100,4.15,4.14E+09,41467140,4.25,13.83,100,0,48.19,97.81,91.51,48.15,48.24,97.94,97.68,91.84,91.17
1,HUMRNIULUPEI-543-v109,PE,100,4.14,4.13E+09,41358944,4.24,2.68,100,0,47.84,97.19,89.78,47.71,47.97,97.56,96.82,90.6,88.97
1,HUMRNIULTPEI-542-v109,PE,100,3.03,3.03E+09,30314704,3.1,1.9,100,0,50.86,97.08,89.67,50.8,50.91,97.55,96.61,90.73,88.62
1,HUMRNIUKHPEI-504-v109,PE,100,4.51,4.51E+09,45097854,4.62,1.86,100,0,53.3,97.48,90.97,53.29,53.31,97.95,97,92.06,89.88
1,HUMRNIUKXPEI-520-v109,PE,100,3.42,3.42E+09,34233008,3.51,2.03,100,0,50.89,96.85,89,50.79,50.99,97.52,96.18,90.56,87.44
1,Total,PE,100,97.64,NA,976423328,100,NA,100,0,49.77,97.15,89.78,49.7,49.85,97.62,96.68,90.88,88.68
2,Undetermined,PE,100,4.87,NA,48678438,4.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,HUMRNIULDPEI-526-v109,PE,100,3.55,3.55E+09,35526780,3.58,1.94,100,0,50.44,97.69,91.26,50.38,50.49,98.05,97.34,92.14,90.38
2,HUMRNIUKJPEI-506-v109,PE,100,3.5,3.50E+09,35022430,3.53,2.37,100,0,51.16,97.26,90.02,51.06,51.25,97.82,96.71,91.39,88.65
2,HUMRNIULPPEI-538-v109,PE,100,3.76,3.75E+09,37561446,3.79,1.27,100,0,49.19,97.35,90.04,49.14,49.25,97.64,97.05,90.73,89.36
2,HUMRNIUKIPEI-505-v109,PE,100,0.03,2.59E+07,259298,0.03,2.2,100,0,50.93,97.84,91.75,50.95,50.91,98.08,97.6,92.29,91.2
2,HUMRNIUKQPEI-513-v109,PE,100,0.22,2.21E+08,2209122,0.22,1.44,100,0,47.64,97.39,90.19,47.64,47.64,97.67,97.11,90.82,89.57
2,HUMRNIULIPEI-531-v109,PE,100,0.49,4.93E+08,4935930,0.5,1.76,100,0,51.8,97.38,90.4,51.81,51.8,97.89,96.86,91.68,89.12
2,HUMRNIULRPEI-540-v109,PE,100,3.7,3.70E+09,37031632,3.73,3.26,100,0,48.48,97.23,89.75,48.38,48.57,97.75,96.71,91.07,88.44
2,HUMRNIULKPEI-533-v109,PE,100,0.54,5.36E+08,5369084,0.54,2.08,100,0,50.8,97.41,90.4,50.68,50.92,97.81,97.02,91.35,89.45
2,HUMRNIUKXPEI-520-v109,PE,100,3.48,3.47E+09,34776572,3.51,1.62,100,0,50.91,97.11,89.58,50.8,51.01,97.71,96.52,91.03,88.14
2,HUMRNIULHPEI-530-v109,PE,100,4.04,4.03E+09,40358982,4.07,2.3,100,0,49.43,97.31,90.06,49.32,49.55,97.78,96.84,91.22,88.9
2,HUMRNIUKUPEI-517-v109,PE,100,0.48,4.78E+08,4785250,0.48,3.19,100,0,51.22,97.37,90.26,51.12,51.32,97.84,96.89,91.44,89.09
2,HUMRNIULCPEI-525-v109,PE,100,2.18,2.18E+09,21794220,2.2,1.83,100,0,48.41,97.35,90.2,48.35,48.47,97.87,96.82,91.49,88.91
2,HUMRNIULMPEI-535-v109,PE,100,3.88,3.87E+09,38769114,3.91,1.52,100,0,49.08,97.37,90.3,48.92,49.24,97.82,96.93,91.36,89.24
2,HUMRNIULQPEI-539-v109,PE,100,3.94,3.93E+09,39355896,3.97,2.07,100,0,48.48,97.29,89.98,48.43,48.52,97.76,96.82,91.17,88.8
2,HUMRNIULGPEI-529-v109,PE,100,0.4,4.00E+08,4008028,0.4,3.11,100,0,49.53,97.16,89.6,49.42,49.64,97.7,96.63,90.95,88.26
2,HUMRNIUKWPEI-519-v109,PE,100,0.37,3.73E+08,3730424,0.38,3.42,100,0,49.49,97.29,89.98,49.44,49.55,97.75,96.83,91.11,88.85
2,HUMRNIULFPEI-528-v109,PE,100,3.97,3.96E+09,39674080,4,4.12,100,0,48.56,97.46,90.39,48.42,48.7,97.84,97.08,91.37,89.41
2,HUMRNIUKSPEI-515-v109,PE,100,0.19,1.95E+08,1947878,0.2,1.91,100,0,48.11,97.64,91.08,48.17,48.04,97.92,97.36,91.72,90.45
2,HUMRNIULSPEI-541-v109,PE,100,4.22,4.22E+09,42190506,4.25,1.82,100,0,49.35,97.17,89.58,49.25,49.45,97.64,96.71,90.71,88.44
2,HUMRNIUKMPEI-509-v109,PE,100,0.34,3.35E+08,3354578,0.34,4.56,100,0,48.89,97.46,90.45,48.89,48.88,97.87,97.05,91.48,89.41
2,HUMRNIULBPEI-524-v109,PE,100,2.26,2.26E+09,22627726,2.28,2.26,100,0,51.17,97.28,90.07,51.13,51.22,97.79,96.77,91.3,88.83
2,HUMRNIUKYPEI-521-v109,PE,100,0.43,4.29E+08,4289070,0.43,2.09,100,0,49.31,97.31,90.05,49.27,49.36,97.66,96.96,90.87,89.22
2,HUMRNIUKKPEI-507-v109,PE,100,0.42,4.23E+08,4235652,0.43,2.79,100,0,49.36,97.65,91.06,49.36,49.36,98,97.29,91.96,90.16
2,HUMRNIULEPEI-527-v109,PE,100,0.69,6.91E+08,6915650,0.7,3.16,100,0,50.31,97.25,89.9,50.24,50.38,97.81,96.68,91.34,88.46
2,HUMRNIUKRPEI-514-v109,PE,100,2.6,2.59E+09,25950808,2.62,2,100,0,48.61,97.07,89.2,48.64,48.58,97.35,96.79,89.89,88.51
2,HUMRNIUKLPEI-508-v109,PE,100,3.06,3.06E+09,30583682,3.08,1.59,100,0,55.49,97.99,92.53,55.51,55.47,98.29,97.69,93.24,91.82
2,HUMRNIULNPEI-536-v109,PE,100,4.17,4.16E+09,41670924,4.2,3.2,100,0,47.9,97.38,90.12,47.79,48.01,97.84,96.92,91.32,88.92
2,HUMRNIUKPPEI-512-v109,PE,100,2.41,2.41E+09,24094766,2.43,6.14,100,0,49.64,97.42,90.34,49.54,49.75,97.73,97.11,91.05,89.62
2,HUMRNIULAPEI-523-v109,PE,100,0.47,4.70E+08,4700076,0.47,1.95,100,0,50.28,96.87,88.94,50.17,50.38,97.62,96.12,90.71,87.16
2,HUMRNIUKNPEI-510-v109,PE,100,3.03,3.03E+09,30343376,3.06,2.95,100,0,50.51,97.01,89.25,50.43,50.59,97.67,96.35,90.87,87.63
2,HUMRNIUKTPEI-516-v109,PE,100,3.1,3.10E+09,30996004,3.12,2,100,0,50.65,97.33,90.3,50.59,50.71,97.81,96.86,91.44,89.17
2,HUMRNIUKVPEI-518-v109,PE,100,3.38,3.37E+09,33775426,3.4,2.58,100,0,49.06,97.89,91.82,48.99,49.12,98.03,97.75,92.1,91.55
2,HUMRNIULJPEI-532-v109,PE,100,3.43,3.43E+09,34304828,3.46,1.65,100,0,49.78,97.53,90.71,49.7,49.86,97.79,97.27,91.31,90.12
2,HUMRNIUKZPEI-522-v109,PE,100,3.46,3.46E+09,34612578,3.49,2.57,100,0,49.98,97.3,90.05,49.87,50.09,97.74,96.86,91.14,88.97
2,HUMRNIUKOPEI-511-v109,PE,100,0,2.83E+06,28310,0,2.54,100,0,49.75,97.37,90.24,49.82,49.69,97.77,96.96,91.17,89.3
2,HUMRNIULLPEI-534-v109,PE,100,4.23,4.22E+09,42271068,4.26,8.1,100,0,48.23,97.99,91.97,48.18,48.28,98.11,97.87,92.31,91.62
2,HUMRNIULUPEI-543-v109,PE,100,4.19,4.19E+09,41890814,4.22,2.08,100,0,47.84,97.41,90.28,47.71,47.97,97.75,97.08,91.06,89.51
2,HUMRNIULTPEI-542-v109,PE,100,3.11,3.11E+09,31094592,3.13,1.48,100,0,50.88,97.39,90.39,50.82,50.93,97.77,97,91.3,89.48
2,HUMRNIUKHPEI-504-v109,PE,100,4.53,4.52E+09,45251034,4.56,1.39,100,0,53.31,97.73,91.59,53.3,53.32,98.15,97.32,92.6,90.57
2,HUMRNIULOPEI-537-v109,PE,100,2.1,2.10E+09,20978040,2.11,1.28,100,0,48.15,97.53,90.66,48.05,48.25,97.67,97.39,90.89,90.43
2,Total,PE,100,99.2,NA,991954112,100,NA,100,0,49.78,97.42,90.41,49.71,49.86,97.82,97.02,91.39,89.43
3,Undetermined,PE,100,4.74,NA,47381042,5.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,HUMRNIULDPEI-526-v109,PE,100,3.31,3.30E+09,33060966,3.59,2.31,100,0,50.43,97.36,90.53,50.38,50.49,97.7,97.03,91.27,89.79
3,HUMRNIUKJPEI-506-v109,PE,100,3.25,3.25E+09,32501088,3.53,2.63,100,0,51.16,96.91,89.25,51.07,51.25,97.45,96.37,90.49,88
3,HUMRNIULPPEI-538-v109,PE,100,3.48,3.48E+09,34787328,3.78,1.53,100,0,49.21,97.02,89.36,49.15,49.27,97.29,96.75,89.92,88.81
3,HUMRNIUKIPEI-505-v109,PE,100,0.02,2.40E+07,240454,0.03,2.26,100,0,50.89,97.49,90.98,50.89,50.88,97.7,97.29,91.34,90.62
3,HUMRNIUKQPEI-513-v109,PE,100,0.2,2.04E+08,2038826,0.22,1.75,100,0,47.67,97.05,89.47,47.67,47.67,97.29,96.81,89.93,89.01
3,HUMRNIULIPEI-531-v109,PE,100,0.46,4.58E+08,4581574,0.5,2.03,100,0,51.78,97.01,89.58,51.78,51.78,97.5,96.51,90.72,88.44
3,HUMRNIULKPEI-533-v109,PE,100,0.49,4.94E+08,4945654,0.54,2.45,100,0,50.78,97.06,89.64,50.67,50.9,97.43,96.7,90.43,88.85
3,HUMRNIUKKPEI-507-v109,PE,100,0.39,3.92E+08,3923498,0.43,3.12,100,0,49.35,97.32,90.33,49.36,49.34,97.65,96.99,91.09,89.57
3,HUMRNIULHPEI-530-v109,PE,100,3.73,3.72E+09,37290512,4.05,2.81,100,0,49.44,96.97,89.31,49.33,49.56,97.42,96.52,90.33,88.3
3,HUMRNIUKUPEI-517-v109,PE,100,0.44,4.41E+08,4418804,0.48,3.41,100,0,51.22,97,89.47,51.12,51.31,97.46,96.55,90.53,88.41
3,HUMRNIULCPEI-525-v109,PE,100,2.01,2.01E+09,20149220,2.19,2.28,100,0,48.4,97,89.43,48.34,48.46,97.5,96.49,90.59,88.27
3,HUMRNIULMPEI-535-v109,PE,100,3.59,3.59E+09,35893276,3.9,1.7,100,0,49.09,97.03,89.55,48.93,49.24,97.45,96.61,90.45,88.64
3,HUMRNIULQPEI-539-v109,PE,100,3.65,3.65E+09,36528288,3.97,2.24,100,0,48.48,96.93,89.21,48.44,48.53,97.39,96.48,90.26,88.15
3,HUMRNIULGPEI-529-v109,PE,100,0.37,3.70E+08,3708266,0.4,3.42,100,0,49.52,96.8,88.82,49.41,49.64,97.31,96.29,90.03,87.61
3,HUMRNIUKWPEI-519-v109,PE,100,0.35,3.45E+08,3456684,0.38,3.65,100,0,49.51,96.93,89.2,49.45,49.57,97.37,96.49,90.19,88.2
3,HUMRNIULFPEI-528-v109,PE,100,3.67,3.67E+09,36690968,3.98,5.03,100,0,48.56,97.14,89.69,48.41,48.7,97.49,96.79,90.52,88.87
3,HUMRNIUKSPEI-515-v109,PE,100,0.18,1.81E+08,1807706,0.2,2.21,100,0,48.11,97.32,90.36,48.17,48.05,97.56,97.07,90.81,89.9
3,HUMRNIUKMPEI-509-v109,PE,100,0.31,3.09E+08,3088760,0.34,5.16,100,0,48.89,97.13,89.71,48.89,48.89,97.52,96.75,90.6,88.82
3,HUMRNIULBPEI-524-v109,PE,100,2.1,2.09E+09,20970316,2.28,2.64,100,0,51.18,96.93,89.3,51.13,51.23,97.42,96.44,90.4,88.2
3,HUMRNIUKYPEI-521-v109,PE,100,0.4,3.99E+08,3991356,0.43,2.41,100,0,49.3,96.96,89.29,49.27,49.34,97.27,96.64,89.95,88.63
3,HUMRNIULEPEI-527-v109,PE,100,0.64,6.36E+08,6368258,0.69,3.58,100,0,50.3,96.9,89.14,50.23,50.38,97.45,96.35,90.45,87.82
3,HUMRNIUKRPEI-514-v109,PE,100,2.4,2.40E+09,24020220,2.61,2.25,100,0,48.64,96.72,88.48,48.67,48.62,96.96,96.48,88.99,87.97
3,HUMRNIUKLPEI-508-v109,PE,100,2.86,2.85E+09,28575782,3.1,1.88,100,0,55.48,97.68,91.77,55.51,55.46,97.97,97.38,92.33,91.2
3,HUMRNIULNPEI-536-v109,PE,100,3.85,3.85E+09,38528896,4.18,3.55,100,0,47.91,97.02,89.35,47.79,48.02,97.46,96.58,90.4,88.29
3,HUMRNIUKPPEI-512-v109,PE,100,2.24,2.24E+09,22377396,2.43,6.34,100,0,49.67,97.08,89.6,49.56,49.78,97.35,96.81,90.15,89.05
3,HUMRNIULAPEI-523-v109,PE,100,0.43,4.34E+08,4341406,0.47,2.2,100,0,50.29,96.51,88.17,50.19,50.39,97.24,95.78,89.81,86.53
3,HUMRNIUKNPEI-510-v109,PE,100,2.81,2.81E+09,28098134,3.05,3.3,100,0,50.51,96.66,88.49,50.43,50.59,97.29,96.03,89.97,87.01
3,HUMRNIULSPEI-541-v109,PE,100,3.89,3.89E+09,38924714,4.23,2.18,100,0,49.36,96.83,88.86,49.26,49.45,97.26,96.4,89.85,87.88
3,HUMRNIUKTPEI-516-v109,PE,100,2.88,2.88E+09,28796766,3.13,2.22,100,0,50.65,96.97,89.49,50.59,50.71,97.42,96.52,90.47,88.5
3,HUMRNIUKVPEI-518-v109,PE,100,3.14,3.13E+09,31370626,3.41,3.09,100,0,49.08,97.57,91.08,49.01,49.15,97.66,97.47,91.15,91
3,HUMRNIULJPEI-532-v109,PE,100,3.18,3.17E+09,31768770,3.45,1.92,100,0,49.79,97.19,89.96,49.71,49.87,97.41,96.97,90.39,89.54
3,HUMRNIUKZPEI-522-v109,PE,100,3.21,3.20E+09,32076568,3.48,2.91,100,0,49.99,96.95,89.3,49.88,50.1,97.37,96.54,90.24,88.35
3,HUMRNIUKOPEI-511-v109,PE,100,0,2.61E+06,26150,0,2.98,100,0,49.87,96.93,89.26,49.87,49.88,97.34,96.52,90.09,88.43
3,HUMRNIULLPEI-534-v109,PE,100,3.9,3.89E+09,38986364,4.23,10.99,100,0,48.23,97.7,91.29,48.18,48.27,97.77,97.62,91.45,91.13
3,HUMRNIULUPEI-543-v109,PE,100,3.87,3.87E+09,38705396,4.2,2.44,100,0,47.85,97.08,89.57,47.72,47.99,97.38,96.79,90.17,88.97
3,HUMRNIULRPEI-540-v109,PE,100,3.43,3.43E+09,34315716,3.72,3.56,100,0,48.48,96.88,89,48.38,48.58,97.37,96.39,90.17,87.83
3,HUMRNIULTPEI-542-v109,PE,100,2.89,2.88E+09,28878696,3.13,1.75,100,0,50.89,97.03,89.6,50.84,50.95,97.39,96.67,90.36,88.84
3,HUMRNIUKHPEI-504-v109,PE,100,4.19,4.18E+09,41893302,4.55,1.71,100,0,53.3,97.41,90.85,53.29,53.31,97.8,97.01,91.72,89.97
3,HUMRNIUKXPEI-520-v109,PE,100,3.22,3.21E+09,32179108,3.49,1.91,100,0,50.9,96.77,88.84,50.8,51.01,97.35,96.18,90.17,87.51
3,HUMRNIULOPEI-537-v109,PE,100,1.96,1.96E+09,19577926,2.13,1.45,100,0,48.21,97.2,89.95,48.1,48.31,97.29,97.11,89.99,89.91
3,Total,PE,100,92.13,NA,921264780,100,NA,100,0,49.79,97.08,89.66,49.71,49.87,97.46,96.71,90.49,88.83
4,Undetermined,PE,100,4.97,NA,49700816,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,HUMRNIULDPEI-526-v109,PE,100,3.57,3.57E+09,35723770,3.59,2.25,100,0,50.47,97.63,91.04,50.41,50.53,98.08,97.17,92.14,89.94
4,HUMRNIUKJPEI-506-v109,PE,100,3.53,3.52E+09,35251554,3.54,2.56,100,0,51.2,97.14,89.69,51.1,51.29,97.85,96.44,91.39,87.98
4,HUMRNIULPPEI-538-v109,PE,100,3.79,3.78E+09,37857722,3.8,1.35,100,0,49.27,97.3,89.9,49.21,49.33,97.69,96.9,90.81,88.99
4,HUMRNIUKIPEI-505-v109,PE,100,0.03,2.58E+07,257694,0.03,2.07,100,0,50.89,97.75,91.46,50.9,50.87,98.08,97.42,92.2,90.71
4,HUMRNIUKQPEI-513-v109,PE,100,0.22,2.21E+08,2210582,0.22,1.57,100,0,47.69,97.32,90.01,47.68,47.7,97.7,96.94,90.84,89.17
4,HUMRNIULIPEI-531-v109,PE,100,0.49,4.93E+08,4938406,0.5,1.92,100,0,51.82,97.25,90.05,51.82,51.82,97.91,96.59,91.65,88.46
4,HUMRNIUKXPEI-520-v109,PE,100,3.48,3.48E+09,34809950,3.49,1.74,100,0,50.94,97.03,89.36,50.84,51.05,97.75,96.31,91.06,87.65
4,HUMRNIULKPEI-533-v109,PE,100,0.54,5.36E+08,5361818,0.54,2.35,100,0,50.83,97.33,90.15,50.71,50.94,97.83,96.82,91.32,88.98
4,HUMRNIULSPEI-541-v109,PE,100,4.21,4.21E+09,42093552,4.23,2.08,100,0,49.39,97.09,89.34,49.29,49.49,97.67,96.51,90.73,87.95
4,HUMRNIULHPEI-530-v109,PE,100,4.04,4.03E+09,40364392,4.05,2.68,100,0,49.46,97.21,89.77,49.34,49.58,97.81,96.61,91.21,88.33
4,HUMRNIUKUPEI-517-v109,PE,100,0.48,4.77E+08,4770972,0.48,3.4,100,0,51.24,97.25,89.94,51.13,51.34,97.85,96.65,91.4,88.47
4,HUMRNIULCPEI-525-v109,PE,100,2.17,2.17E+09,21715544,2.18,2.27,100,0,48.43,97.24,89.89,48.37,48.5,97.9,96.58,91.48,88.3
4,HUMRNIULMPEI-535-v109,PE,100,3.88,3.87E+09,38757200,3.89,1.61,100,0,49.11,97.26,89.99,48.95,49.27,97.84,96.68,91.35,88.63
4,HUMRNIULQPEI-539-v109,PE,100,3.94,3.94E+09,39407718,3.96,2.17,100,0,48.5,97.17,89.65,48.45,48.55,97.79,96.55,91.16,88.14
4,HUMRNIUKWPEI-519-v109,PE,100,0.38,3.77E+08,3773040,0.38,3.61,100,0,49.51,97.18,89.67,49.45,49.58,97.77,96.58,91.1,88.24
4,HUMRNIULGPEI-529-v109,PE,100,0.4,4.01E+08,4010800,0.4,3.28,100,0,49.55,97.04,89.26,49.43,49.67,97.72,96.36,90.93,87.6
4,HUMRNIULFPEI-528-v109,PE,100,3.97,3.97E+09,39740508,3.99,4.95,100,0,48.58,97.4,90.21,48.43,48.73,97.88,96.93,91.41,89.01
4,HUMRNIUKSPEI-515-v109,PE,100,0.2,1.96E+08,1960344,0.2,2.13,100,0,48.15,97.57,90.87,48.22,48.08,97.96,97.19,91.71,90.03
4,HUMRNIUKMPEI-509-v109,PE,100,0.33,3.33E+08,3333524,0.33,5.49,100,0,48.9,97.39,90.2,48.9,48.91,97.92,96.86,91.51,88.9
4,HUMRNIULBPEI-524-v109,PE,100,2.28,2.28E+09,22766572,2.29,2.61,100,0,51.21,97.18,89.78,51.16,51.26,97.82,96.54,91.3,88.26
4,HUMRNIUKKPEI-507-v109,PE,100,0.42,4.23E+08,4228874,0.42,2.99,100,0,49.4,97.57,90.81,49.41,49.4,98.04,97.1,91.96,89.66
4,HUMRNIUKYPEI-521-v109,PE,100,0.43,4.31E+08,4315466,0.43,2.21,100,0,49.33,97.21,89.79,49.29,49.38,97.69,96.74,90.9,88.67
4,HUMRNIULEPEI-527-v109,PE,100,0.68,6.84E+08,6848614,0.69,3.67,100,0,50.33,97.15,89.61,50.25,50.41,97.85,96.46,91.33,87.89
4,HUMRNIUKRPEI-514-v109,PE,100,2.62,2.61E+09,26153688,2.63,2.02,100,0,48.67,97.01,89.05,48.69,48.65,97.4,96.63,89.96,88.14
4,HUMRNIUKLPEI-508-v109,PE,100,3.09,3.09E+09,30916322,3.1,1.72,100,0,55.53,97.94,92.33,55.55,55.5,98.33,97.55,93.24,91.43
4,HUMRNIULNPEI-536-v109,PE,100,4.16,4.16E+09,41591884,4.18,3.41,100,0,47.93,97.27,89.82,47.81,48.05,97.86,96.69,91.3,88.34
4,HUMRNIUKZPEI-522-v109,PE,100,3.47,3.47E+09,34741432,3.49,2.81,100,0,49.99,97.21,89.8,49.88,50.1,97.78,96.65,91.16,88.44
4,HUMRNIUKPPEI-512-v109,PE,100,2.45,2.45E+09,24519006,2.46,6.25,100,0,49.67,97.34,90.13,49.56,49.78,97.77,96.92,91.09,89.16
4,HUMRNIULAPEI-523-v109,PE,100,0.47,4.67E+08,4674656,0.47,2.04,100,0,50.31,96.76,88.64,50.21,50.41,97.65,95.87,90.72,86.57
4,HUMRNIUKNPEI-510-v109,PE,100,3.04,3.04E+09,30413840,3.05,3.25,100,0,50.54,96.91,88.97,50.46,50.62,97.7,96.12,90.88,87.06
4,HUMRNIULRPEI-540-v109,PE,100,3.73,3.72E+09,37258802,3.74,3.53,100,0,48.5,97.13,89.46,48.39,48.6,97.78,96.47,91.08,87.84
4,HUMRNIUKTPEI-516-v109,PE,100,3.1,3.10E+09,31047912,3.12,2.06,100,0,50.66,97.21,89.97,50.59,50.72,97.84,96.59,91.44,88.5
